[ 8.9684082  ,   1.49396484]
[ 9.44242188 ,  -1.97378906]
[ 12.98349121,   1.97542969]
[ 13.36675293,  -1.50351563]
[ 16.95103027,   2.41865234]
[ 17.36394043,  -1.05691406]
[ 20.81930664,   2.9637207 ]
[ 21.42584961,  -0.48333008]
[ 24.37603516,   3.88520996]
[ 25.58311523,   0.59994141]
[ 27.37040039,   5.49604492]
[ 29.59609375,   2.79488281]
[ 29.5551123 ,   8.23481445]
[ 32.42868652,   6.23666992]
[ 31.67876465,  11.49290527]
[ 34.67806152,   9.6889502 ]
[ 33.6138916 ,  14.91561523]
[ 36.67648926,  13.22135742]
[ 34.98071777,  18.15897949]
[ 38.38056152,  17.32766113]
[ 35.49925293,  21.87523438]
[ 38.98249512,  21.53316406]
[ 35.4698877 ,  25.43685547]
[ 38.93307129,  25.94318359]
[ 34.45088379,  28.75419434]
[ 37.61425293,  30.25188965]
[ 32.47022461,  31.74224121]
[ 35.2203125 ,  33.90719238]
[ 29.94411621,  34.74337891]
[ 32.57856934,  37.04764648]
[ 27.29193359,  37.78437012]
[ 29.95505859,  40.05544434]
[ 24.70066895,  41.06778809]
[ 27.57067871,  43.0710498 ]
[ 22.67914062,  45.05627441]
[ 26.00143555,  46.15733887]
[ 21.99585449,  49.59782715]
[ 25.49352051,  49.47012207]
[ 22.90686035,  54.01494141]
[ 26.20759277,  52.85082031]
[ 25.3354834 ,  58.02470215]
[ 27.87092285,  55.61190918]
[ 28.35355957,  60.83012695]
[ 30.72271973,  58.25387695]
[ 30.62258301,  63.42261719]
[ 33.66593262,  61.69402344]
[ 32.03286133,  66.77310547]
[ 35.3628125 ,  65.69541992]
[ 32.79327637,  70.31349609]
[ 36.2757373 ,  69.96353516]
[ 32.69836426,  73.85148437]
[ 36.15730957,  74.38600586]
[ 31.80185059,  77.44018555]
[ 35.11882324,  78.55717773]
[ 30.35630371,  80.90830566]
[ 33.48714355,  82.47287109]
[ 28.44951172,  84.13043945]
[ 31.31936523,  86.13391602]
[ 26.04785156,  86.64639648]
[ 28.23926758,  89.37543945]
[ 22.90304199,  88.91351563]
[ 24.88694824,  91.79693359]
[ 19.53730957,  91.40087891]
[ 21.80120605,  94.07011719]
[ 16.57016113,  95.16847656]
[ 19.81638184,  96.47693359]
[ 16.14703613,  99.98480469]
[ 19.61668457,  99.52490234]
[ 16.79478516, 103.91164063]
[ 20.26974609, 103.49373047]
[ 16.59516113, 107.14269531]
[ 19.94406738, 108.15998047]
[ 15.10058594, 110.46248047]
[ 18.17037109, 112.14367187]
[ 13.11853027, 113.89824219]
[ 16.15078613, 115.64623047]
[ 11.19222168, 117.69129883]
[ 14.44122559, 118.99282227]
[ 10.4088916 , 122.3615625 ]
[ 13.90012207, 122.11388672]
[ 11.27908691, 126.59212891]
[ 14.66397949, 125.70189453]
[ 11.69418457, 129.86663086]
[ 15.16520996, 130.31604492]
[ 10.83404785, 133.42201172]
[ 14.15411621, 134.52976563]
[  9.36288086, 136.7712207 ]
[ 12.40807617, 138.49655273]
[  7.23893066, 139.59799805]
[  9.7438916 , 142.04241211]
